銀座・有楽町・新橋・築地・月島, Y005
水道橋・飯田橋・神楽坂,Y006
お台場,Y007
東京・大手町・日本橋・人形町,Y010
四ツ谷・麹町・市ヶ谷・九段下,Y013
上野・御徒町・浅草,Y015
北千住・日暮里・葛飾・荒川,Y016
錦糸町・浅草橋・両国・亀戸,Y017
門前仲町・東陽町・木場・葛西,Y018
神田・神保町・秋葉原・御茶ノ水,Y020
品川･目黒･田町･浜松町･五反田,Y025
蒲田・大森・大田区,Y026
渋谷,Y030
原宿・青山・表参道,Y035
恵比寿・中目黒・代官山・広尾,Y040
赤坂・六本木・麻布十番・西麻布,Y045
自由が丘・田園調布,Y046
池袋,Y050
赤羽・王子・十条,Y051
新宿,Y055
新大久保・大久保,Y056
巣鴨・大塚・駒込,Y057
中野・高円寺・阿佐ヶ谷・方南町,Y060
下北沢・代々木上原,Y070
高田馬場,Y072
池尻大橋・三軒茶屋・駒沢大学,Y073
桜新町・用賀・二子玉川,Y074
幡ヶ谷・笹塚・明大前・下高井戸,Y076
調布・府中・千歳烏山・仙川,Y077
経堂・千歳船橋,Y078
祖師ヶ谷大蔵・成城学園前,Y079
大井町･中延･旗の台･戸越･馬込,Y080
不動前・武蔵小山,Y081
雪が谷大塚・池上,Y082
東京都その他,Y852
すすきの,Y500
室蘭・登別・白老,Y501
富良野・その他北海道,Y502
札幌（札幌駅・大通）,Y505
麻生・北24条（北区・東区）,Y510
南郷・新札幌 白石・厚別・清田,Y511
琴似・円山公園 中央・西・手稲,Y512
平岸・澄川（豊平区・南区）,Y513
旭川,Y530
函館,Y883
小樽・千歳・苫小牧・札幌近郊,Y884
帯広・釧路・北見・河東郡,Y885
武蔵小杉・元住吉・新丸子,Y084
新横浜・綱島・菊名・鴨居,Y085
大和・中央林間・長津田,Y086
新百合ヶ丘・登戸,Y087
横浜,Y135
桜木町みなとみらい･関内･中華街,Y136
上大岡・杉田・新杉田・金沢文庫,Y138
センター北・南、仲町台・都筑区,Y139
川崎・鶴見,Y140
本厚木･相模大野･海老名･伊勢原,Y141
相模原・橋本・淵野辺,Y142
大船・戸塚・東戸塚・保土ヶ谷,Y144
藤沢・辻堂茅ヶ崎・平塚・湘南台,Y145
鎌倉・江の島,Y853
小田原・箱根・湯河原・真鶴,Y854
横須賀中央・三浦・久里浜・汐入,Y855
逗子・葉山,Y856
神奈川県その他,Y857
千葉・稲毛,Y115
船橋･津田沼･市川･本八幡･中山,Y120
南房総・館山,Y120
柏・南柏・我孫子,Y125
舞浜・浦安・行徳・妙典下,Y126
成田・佐倉,Y127
海浜幕張,Y128
蘇我・鎌取・茂原,Y129
松戸・新松戸,Y690
銚子・旭,Y858
木更津・市原,Y859
千葉県その他,Y122
大宮・さいたま新都心,Y130
川口・西川口・蕨,Y131
浦和・武蔵浦和,Y132
熊谷・深谷・本庄,Y133
東松山・坂戸,Y134
秩父,Y160
戸田,Y161
上尾・北上尾・蓮田,Y162
所沢,Y845
西武新宿線（航空公園〜南大塚）,Y846
東武東上線 和光市〜新河岸･新座,Y847
西武池袋線（小手指〜飯能）,Y860
川越,Y861
春日部・越谷・草加・三郷,Y862
埼玉県その他,Y163
名古屋（名古屋駅/西区/中村区）,Y200
栄ｷﾀ錦/伏見丸の内/泉/東桜/新栄,Y205
栄(ミナミ)/矢場町/大須/上前津,Y210
金山・神宮前・熱田区,Y215
鶴舞・八事・御器所,Y216
大曽根･千種･今池･池下･守山区,Y220
緑区・南区・天白区・瑞穂区,Y221
本山・覚王山・藤が丘,Y222
豊田市,Y223
中川区・港区,Y224
名古屋市その他,Y225
安城・刈谷・岡崎・知立・蒲郡,Y875
豊橋・豊川,Y994
半田・知多・碧南・西尾,Y992
春日井・小牧・一宮・江南・瀬戸,Y993
愛知県その他,Y995
静岡駅周辺・葵区・駿河区,Y230
清水駅周辺〜草薙,Y231
浜松,Y800
伊豆・伊東・下田,Y848
焼津・藤枝・掛川,Y849
熱海,Y876
富士宮,Y877
御殿場・富士・沼津・三島,Y997
静岡県その他,Y878
草津市・守山市,Y271
大津,Y946
長浜市・彦根市,Y947
近江八幡市・東近江市,Y947
滋賀県その他,Y270
伊勢,Y943
松阪,Y944
桑名,Y945
四日市,Y971
津,Y989
鈴鹿,Y990
鳥羽・志摩,Y991
三重県その他,Y280
梅田,Y300
福島・野田,Y301
淀屋橋・本町・北浜・天満橋,Y305
京橋・天満・天六・南森町,Y310
心斎橋・なんば・南船場・堀江,Y315
天王寺,Y325
上本町・鶴橋,Y326
針中野･長居･西田辺･西成区･住吉,Y327
関目・千林・緑橋・深江橋,Y328
大阪市その他,Y329
堺・高石市・和泉市,Y350
高槻,Y355
茨木,Y356
泉大津･岸和田･泉佐野･りんくう,Y357
松原市･藤井寺市･富田林･南河内,Y358
江坂・西中島・新大阪・十三,Y360
東大阪市・八尾市・平野・大東市,Y361
九条･西九条･弁天町･大正･住之江,Y866
枚方・寝屋川・守口・門真,Y867
箕面・池田,Y998
大阪府その他,Y868
烏丸御池・四条烏丸,Y365
左京区・山科区,Y430
北区・上京区,Y431
河原町・木屋町,Y432
祇園・先斗町,Y433
四条大宮・西院・右京区・西京区,Y434
烏丸五条・京都駅周辺,Y435
宮津・京丹後・京都府その他,Y869
神戸,Y370
明石,Y371
灘・東灘,Y372
須磨・垂水・西区・兵庫・長田,Y373
姫路,Y850
加古川,Y851
淡路島,Y870
西宮・芦屋・宝塚,Y871
城崎・豊岡,Y872
北区・有馬温泉・三田,Y873
尼崎,Y874
兵庫県その他,Y996
和歌山市,Y951
田辺市,Y952
白浜・和歌山県その他,Y400
盛岡,Y915
花巻・北上・奥州・一関,Y916
宮古・岩手県その他,Y540
仙台（仙台駅周辺）,Y550
青葉・宮城野・若林,Y555
仙台（国分町・一番町周辺）,Y886
泉中央,Y887
長町,Y888
大崎市,Y889
宮城県その他,Y554
郡山,Y570
会津若松,Y890
喜多方,Y891
福島市,Y892
いわき・福島県その他,Y893
宇都宮,Y580
小山市・栃木市,Y865
日光・鹿沼,Y863
那須・塩原,Y864
小山市・栃木市,Y865
足利市・佐野市,Y979
栃木県その他,Y581
広島市（広島市中心部）,Y600
広島駅・横川・その他広島市内,Y605
福山,Y620
尾道,Y894
呉,Y986
広島県その他,Y987
岡山市,Y610
倉敷（倉敷市中心部）,Y611
倉敷(倉敷市郊外･児島･水島など),Y612
備前・岡山県その他,Y895
下関,Y957
山口市,Y958
宇部市,Y982
周南市・下松市,Y983
岩国,Y984
防府,Y985
萩・山口県その他,Y640
高松市中心部,Y650
高松市郊外,Y652
丸亀･坂出･宇多津･善通寺･多度津,Y896
坂出・香川県その他,Y981
徳島市・徳島市周辺部,Y660
坂出・徳島県その他,Y897
松山,Y670
今治,Y898
新居浜・西条,Y980
宇和島･東予･南予･愛媛県その他,Y975
博多,Y700
中洲・中洲川端,Y705
天神・西中洲・春吉,Y706
西新・姪浜・その他西エリア,Y710
吉塚・香椎・その他東エリア,Y711
大名・今泉・警固,Y712
薬院･平尾･高砂,Y713
大橋･その他南地区,Y714
北九州（小倉・門司）,Y730
北九州（八幡・黒崎・折尾）,Y731
飯塚・筑紫野,Y732
久留米,Y900
福岡県その他,Y901
長崎市,Y740
大村市・諫早市,Y902
佐世保・長崎県その他,Y741
大分市,Y750
湯布院・由布市,Y751
別府,Y903
中津市,Y904
大分県その他,Y752
熊本市(上通り･下通り･新市街),Y760
熊本市郊外,Y762
八代,Y763
阿蘇,Y905
天草・熊本県その他,Y906
都城市,Y771
宮崎市郊外,Y773
日南市,Y777
延岡市・日向市,Y907
宮崎県その他,Y772
鹿児島市　天文館・中央駅・ふ頭,Y780
騎射場・与次郎,Y785
谷山・宇宿,Y786
奄美・屋久島,Y908
霧島市,Y909
鹿児島県その他,Y781
笛吹市,Y796
富士吉田・河口湖,Y936
北杜市,Y937
甲府,Y973
山梨県その他,Y938
安曇野,Y806
諏訪・茅野,Y807
長野市,Y939
松本市,Y940
軽井沢,Y941
上田・佐久,Y942
長野県その他,Y808
岐阜駅周辺・柳ヶ瀬・市役所,Y810
島・則武・正木・長良,Y811
県庁〜岐南・柳津・岐阜駅以南,Y812
穂積・北方・大垣,Y813
日野・芥見・各務原,Y814
高山・中津川,Y879
多治見・土岐,Y880
下呂・岐阜県その他,Y988
福井市,Y934
敦賀,Y935
坂井市,Y972
小浜・福井県その他,Y816
新潟駅・万代,Y820
新潟駅南,Y821
古町周辺,Y822
新潟東区・北区エリア,Y823
新潟西エリア,Y824
出来島･女池･桜木･鳥屋野潟周辺,Y825
上越,Y826
新発田,Y827
燕三条,Y881
亀田・新津エリア,Y829
佐渡・新潟県その他,Y828
高岡,Y933
富山市,Y932
黒部・富山県その他,Y831
結城市,Y835
水戸,Y924
つくば,Y925
日立・ひたちなか,Y926
土浦,Y969
笠間・常陸太田・茨城県北部他,Y927
鹿嶋・鉾田・茨城県南部他,Y928
金沢(片町･香林坊･にし茶屋周辺),Y840
金沢(金沢駅･近江町･ひがし茶屋),Y841
金沢市他・野々市・白山・内灘,Y842
輪島・七尾・加賀・石川県その他,Y882
桐生市・みどり市,Y843
館林・大泉町・邑楽町,Y844
前橋,Y929
草津・嬬恋,Y930
高崎,Y966
伊勢崎・玉村,Y967
太田市,Y968
伊香保・群馬県その他,Y931
秋田市,Y917
仙北市・秋田県北部,Y918
横手・秋田県南部,Y919
米沢,山形市,Y920
酒田・鶴岡,Y922
山形県その他,Y923
佐賀市,Y959
唐津,Y974
佐賀県その他,Y960
那覇,Y961
糸満・豊見城・南風原・南城,Y962
石垣島・宮古島・沖縄離島,Y963
名護・恩納村・本部町,Y964
読谷･北谷･宜野湾･浦添･嘉手納,Y965
沖縄市・うるま・西原・北中城,Y976